Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3,Hour,Day,Month,Season,Temp_Bins
2017-01-01 00:00:00,6.19683,75.06667,0.08183,0.0635,0.09883,29197.97468,18026.74772,19252.04819,0,Sunday,1,Winter,"(3.566, 10.821]"
2017-01-01 01:00:00,5.54883,77.58333,0.082,0.05683,0.1125,24657.21519,16078.41945,17042.89157,1,Sunday,1,Winter,"(3.566, 10.821]"
2017-01-01 02:00:00,5.05433,78.93333,0.08233,0.063,0.12917,22083.03797,14330.69909,15676.14458,2,Sunday,1,Winter,"(3.566, 10.821]"
2017-01-01 03:00:00,5.00433,77.08333,0.08283,0.05983,0.141,20811.13924,13219.45289,14883.85542,3,Sunday,1,Winter,"(3.566, 10.821]"
2017-01-01 04:00:00,5.09767,74.05,0.08233,0.058,0.12283,20475.94937,12921.58055,14317.10843,4,Sunday,1,Winter,"(3.566, 10.821]"
2017-01-01 05:00:00,4.74167,75.23333,0.081,0.06583,0.11883,20807.08861,13069.90882,14395.18072,5,Sunday,1,Winter,"(3.566, 10.821]"
2017-01-01 06:00:00,4.57167,75.75,0.08217,0.06167,0.1255,21648.6076,13596.35258,14513.73494,6,Sunday,1,Winter,"(3.566, 10.821]"
2017-01-01 07:00:00,4.45383,73.4,0.08267,0.0655,0.1195,18540.7595,11449.84802,11552.77108,7,Sunday,1,Winter,"(3.566, 10.821]"
2017-01-01 08:00:00,4.65517,73.6,0.08267,13.76383,6.30867,19605.06329,11738.60182,11190.36145,8,Sunday,1,Winter,"(3.566, 10.821]"
2017-01-01 09:00:00,4.60917,73.98333,0.08217,144.8,25.215,22905.31646,13814.58967,13026.50602,9,Sunday,1,Winter,"(3.566, 10.821]"
2017-01-01 10:00:00,6.14533,69.635,3.7385,293.26667,31.875,26685.56962,16232.82675,14801.92771,10,Sunday,1,Winter,"(3.566, 10.821]"
2017-01-01 11:00:00,9.89333,58.03667,2.08817,408.08333,36.34167,29288.10126,17772.03647,16000.96386,11,Sunday,1,Winter,"(3.566, 10.821]"
